2022-05-20 12:05:36 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 12:05:201 INFO  HomePage :110 - Enter job role [[ChromeDriver: chrome on WINDOWS (61f04988b17a6d27ec2c4c594143c387)] -> xpath: //input[@id='keywords']]
2022-05-20 12:05:448 INFO  HomePage :105 - Enter location [[ChromeDriver: chrome on WINDOWS (61f04988b17a6d27ec2c4c594143c387)] -> xpath: //input[@id='location']]
2022-05-20 12:05:702 INFO  HomePage :100 - Select distance [[ChromeDriver: chrome on WINDOWS (61f04988b17a6d27ec2c4c594143c387)] -> xpath: //select[@id='distance']]
2022-05-20 12:05:173 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 12:05:71 INFO  HomePage :118 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //button[@id='save']]
2022-05-20 12:05:215 INFO  HomePage :110 - Enter job role [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //input[@id='keywords']]
2022-05-20 12:05:611 INFO  HomePage :105 - Enter location [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //input[@id='location']]
2022-05-20 12:05:767 INFO  HomePage :100 - Select distance [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //select[@id='distance']]
2022-05-20 12:05:982 INFO  HomePage :94 - Click on more search option [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //button[@id='toggle-hp-search']]
2022-05-20 12:05:230 INFO  HomePage :88 - Select min salary [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //input[@id='salarymin']]
2022-05-20 12:05:344 INFO  HomePage :83 - Select max salary [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //input[@id='salarymax']]
2022-05-20 12:05:412 INFO  HomePage :78 - Select salary  [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //select[@id='salarytype']]
2022-05-20 12:05:534 INFO  HomePage :72 - Select job type Permanent
2022-05-20 12:05:694 INFO  HomePage :67 - Click on find job button [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //input[@id='hp-search-btn']]
2022-05-20 12:05:657 INFO  ResultPage :25 - Verify results : [[ChromeDriver: chrome on WINDOWS (c8fdfa666aad7efa48c2516c222be798)] -> xpath: //h1[@class='search-header__title']]
2022-05-20 12:05:327 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 12:05:426 INFO  HomePage :118 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (6f5c3c85b77fafe07afee72d30d2c6a1)] -> xpath: //button[@id='save']]
2022-05-20 12:05:737 INFO  HomePage :110 - Enter job role [[ChromeDriver: chrome on WINDOWS (6f5c3c85b77fafe07afee72d30d2c6a1)] -> xpath: //input[@id='keywords']]
2022-05-20 12:05:60 INFO  HomePage :105 - Enter location [[ChromeDriver: chrome on WINDOWS (6f5c3c85b77fafe07afee72d30d2c6a1)] -> xpath: //input[@id='location']]
